"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x03","L",3,1,5,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",5
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x03","L",3,2,4,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",4
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x04","L",4,1,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",9
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x04","L",4,2,4,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",4
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x05","L",5,1,5,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",5
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x05","L",5,2,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",9
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x06","L",6,1,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",9
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x06","L",6,2,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",9
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x06","L",6,3,5,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",5
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x07","L",7,1,3,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",3
"Lesioned","TH+","L4.ST8.B","L4.ST8.B.L_60x07","L",7,2,4,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.B",4
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x04","L",4,1,2,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",2
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x05","L",5,1,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",9
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x06","L",6,1,7,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",7
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x06","L",6,2,6,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",6
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x07","L",7,1,7,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",7
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x07","L",7,2,7,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",7
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x07","L",7,3,3,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",3
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x07","L",7,4,7,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",7
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x08","L",8,1,12,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",12
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x08","L",8,2,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",9
"Lesioned","TH+","L4.ST8.C","L4.ST8.C.L_60x08","L",8,3,9,"L4.ST8","L4.ST8","L4","6OHDA","L4.ST8.C",9
