condition,cell_type,slice_id,field,hemisphere,field_index,replicate,count,session,session_group
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x04,L,4,2,7,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x04,L,4,3,25,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x04,L,4,4,10,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x05,L,5,1,29,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x05,L,5,2,23,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x05,L,5,3,19,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x05,L,5,4,30,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x06,L,6,1,18,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6c,L3.ST6c.L_60x07,L,7,1,8,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x01,L,1,1,22,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x01,L,1,2,22,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x01,L,1,3,24,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x01,L,1,4,13,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x02,L,2,1,21,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x02,L,2,2,8,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x02,L,2,3,18,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x02,L,2,4,15,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x03,L,3,1,20,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x03,L,3,2,25,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x03,L,3,3,16,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x04,L,4,1,15,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x04,L,4,2,28,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x04,L,4,3,8,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x04,L,4,4,22,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x05,L,5,1,19,L3.ST6,L3.ST6
Lesioned,NDNF+,L3.ST6d,L3.ST6d.L_60x05,L,5,2,9,L3.ST6,L3.ST6
Intact,TH+,L3.ST6c,L3.ST6c.UL_60x02,UL,2,1,9,L3.ST6,L3.ST6
Intact,TH+,L3.ST6c,L3.ST6c.UL_60x03,UL,3,1,7,L3.ST6,L3.ST6
Intact,TH+,L3.ST6c,L3.ST6c.UL_60x03,UL,3,2,12,L3.ST6,L3.ST6
Intact,TH+,L3.ST6c,L3.ST6c.UL_60x03,UL,3,3,2,L3.ST6,L3.ST6
Intact,TH+,L3.ST6c,L3.ST6c.UL_60x04,UL,4,1,8,L3.ST6,L3.ST6
Intact,TH+,L3.ST6d,L3.ST6d.UL_60x02,UL,2,1,7,L3.ST6,L3.ST6
Intact,TH+,L3.ST6d,L3.ST6d.UL_60x05,UL,5,1,6,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x01,L,1,1,8,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x04,L,4,1,9,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x06,L,6,1,14,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x06,L,6,2,2,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x06,L,6,3,5,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x07,L,7,1,6,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6c,L3.ST6c.L_60x07,L,7,2,3,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6d,L3.ST6d.L_60x01,L,1,1,11,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6d,L3.ST6d.L_60x01,L,1,2,5,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6d,L3.ST6d.L_60x01,L,1,3,7,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6d,L3.ST6d.L_60x02,L,2,1,7,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6d,L3.ST6d.L_60x04,L,4,1,5,L3.ST6,L3.ST6
Lesioned,TH+,L3.ST6d,L3.ST6d.L_60x05,L,5,1,6,L3.ST6,L3.ST6
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x01,UL,1,1,31,L4.ST8,L4.ST8
