"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.01","L",1,3,15,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",15
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.01","L",1,4,4,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",4
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.01","L",1,5,7,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",7
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.02","L",2,1,17,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",17
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.02","L",2,2,13,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",13
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.02","L",2,3,16,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",16
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,1,10,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",10
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,2,6,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",6
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,3,11,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",11
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,4,11,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",11
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,5,5,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",5
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.03","L",3,6,19,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",19
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.04","L",4,1,25,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",25
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.04","L",4,2,28,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",28
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.05","L",5,1,9,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",9
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.05","L",5,2,19,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",19
"Lesioned","NDNF+","L1.ST8_C","L1.ST8_C.L_60x.06","L",6,1,8,"L1.ST8","L1.ST8","L1","6OHDA","L1.ST8_C",8
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x01","L",1,1,8,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",8
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x01","L",1,2,19,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",19
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x01","L",1,3,25,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",25
